No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益
080/072,HR,ミュウツーGX,080/072,70000,2/16,,74800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d68722e6a70670031363000534f4c44204f555400660023666666666666.jpg,-4800
077/072,SR,ポケモンブリーダー,077/072,46000,2/16,,39800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f706f6b656275726973722e6a7067003136300000660023666666666666.jpg,6200
041/072,-,ひかるミュウ,041/072,85000,2/16,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f68696b6172756d7975753034312e6a70670031363000534f4c44204f555400660023666666666666.jpg,35200
082/072,＊,ミュウツーGX(SR仕様),082/072,400000,2/16,,218000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d3038322e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000
058/051,HR,リザードンGX,058/051,530000,2/16,,278000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6168722e6a70670031363000534f4c44204f555400660023666666666666.jpg,252000
059/051,HR,ホウオウGX,059/051,36000,2/16,,32800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f686f756f756872312e6a70670031363000534f4c44204f555400660023666666666666.jpg,3200
052/051,SR,リザードンGX,052/051,200000,2/16,,94800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6173722e6a70670031363000534f4c44204f555400660023666666666666.jpg,105200
057/051,SR,プルメリ,057/051,14000,2/16,,13800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f707572756d6572692e6a7067003136300000660023666666666666.jpg,200
061/051,HR,サーナイトGX,061/051,25000,2/16,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73616e6168722e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
056/051,SR,グズマ,056/051,9500,2/16,,12800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f6638666530382e6a7067003136300000660023666666666666.jpg,-3300
057/051,SR,ビッケ,057/051,45000,2/16,,32800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f62696b6b657372352e6a7067003136300000660023666666666666.jpg,12200
063/049,HR,ダークライGX,063/049,55000,2/16,,25800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f64612d6b7572616968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,29200
056/049,SR,アセロラ,056/049,800000,2/16,,598000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303131345f3333663761642e6a7067003136300000660023666666666666.jpg,202000
057/049,SR,マーマネ,057/049,12000,2/16,,12800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d616d616e6573722e6a7067003136300000660023666666666666.jpg,-800
055/050,SR,マオ,055/050,95000,2/16,,57800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d616f73722e6a7067003136300000660023666666666666.jpg,37200
064/051,HR,ニンフィアGX,064/051,400000,2/16,,228000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e6966696168722e6a7067003136300000660023666666666666.jpg,172000
057/051,SR,ニンフィアGX,057/051,85000,2/16,,54800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e696e6e666973722e6a7067003136300000660023666666666666.jpg,30200
068/060,HR,エーフィGX,068/060,32000,2/16,,39800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f652d666968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,-7800
062/060,SR,エーフィGX,062/060,23000,2/16,,17800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930395f6166626663612e4a5047003136300000660023666666666666.jpg,5200
069/060,HR,ブラッキーGX,069/060,120000,2/16,,72800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f627572616b696872302e6a70670031363000534f4c44204f555400660023666666666666.jpg,47200
063/060,SR,ブラッキーGX,063/060,58000,2/16,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f627572616b6b6973722e6a70670031363000534f4c44204f555400660023666666666666.jpg,-1800
066/060,SR,リーリエ,066/060,800000,2/16,,698000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303731385f3261336664392e6a7067003136300000660023666666666666.jpg,102000
005/SM-P,PROMO,サッポロのピカチュウ,005/SM-P,130000,2/16,,148000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736170706f726f70693030352e6a70670031363000534f4c44204f555400660023666666666666.jpg,-18000
055/SM-P,PROMO,イースターのピカチュウ,055/SM-P,260000,2/16,,218000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f697375746170696b613035352e6a70670031363000534f4c44204f555400660023666666666666.jpg,42000
068/SM-P,PROMO,ピカチュウ,068/SM-P,300000,2/16,,298000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f70696b61303638736d2e6a7067003136300000660023666666666666.jpg,2000
088/SM-P,PROMO,トウホクのピカチュウ,088/SM-P,140000,2/16,,94800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f746f75686f6b7570693038382e6a70670031363000534f4c44204f555400660023666666666666.jpg,45200
137/SM-P,PROMO,ポンチョを着たイーブイ(シャワーズ),137/SM-P,420000,2/16,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693137322e6a70670031363000534f4c44204f555400660023666666666666.jpg,252000
138/SM-P,PROMO,ポンチョを着たイーブイ(サンダース),138/SM-P,350000,2/16,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133382e6a70670031363000534f4c44204f555400660023666666666666.jpg,232000
139/SM-P,PROMO,ポンチョを着たイーブイ(ブースター),139/SM-P,350000,2/16,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133392e6a70670031363000534f4c44204f555400660023666666666666.jpg,232000
140/SM-P,PROMO,ポンチョを着たイーブイ(エーフィ),140/SM-P,230000,2/16,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134302e6a70670031363000534f4c44204f555400660023666666666666.jpg,122000
141/SM-P,PROMO,ポンチョを着たイーブイ(ブラッキー),141/SM-P,380000,2/16,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134312e6a70670031363000534f4c44204f555400660023666666666666.jpg,212000
142/SM-P,PROMO,ポンチョを着たイーブイ(リーフィア),142/SM-P,220000,2/16,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134322e6a70670031363000534f4c44204f555400660023666666666666.jpg,112000
143/SM-P,PROMO,ポンチョを着たイーブイ(グレイシア),143/SM-P,230000,2/16,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134332e6a70670031363000534f4c44204f555400660023666666666666.jpg,122000
144/SM-P,PROMO,ポンチョを着たイーブイ(ニンフィア),144/SM-P,340000,2/16,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134342e6a70670031363000534f4c44204f555400660023666666666666.jpg,202000
224/SM-P,PROMO,ピカチュウ,224/SM-P,90000,2/16,,34800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f70696b61323234736d2e6a70670031363000534f4c44204f555400660023666666666666.jpg,55200
270/SM-P,PROMO,レッドのピカチュウ,270/SM-P,68000,2/16,,67800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7475696b6170393236362e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
280/SM-P,PROMO,ヨコハマのピカチュウ,280/SM-P,210000,2/16,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6132636330622e6a70670031363000534f4c44204f555400660023666666666666.jpg,102000
281/SM-P,PROMO,ヨコハマのピカチュウ,281/SM-P,140000,2/16,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f3064353166612e6a70670031363000534f4c44204f555400660023666666666666.jpg,32000
282/SM-P,PROMO,ヨコハマのピカチュウ,282/SM-P,130000,2/16,,92800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f3437613739322e6a70670031363000534f4c44204f555400660023666666666666.jpg,37200
283/SM-P,PROMO,ヨコハマのピカチュウ,283/SM-P,95000,2/16,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6439366330382e6a70670031363000534f4c44204f555400660023666666666666.jpg,35200
287/SM-P,PROMO,イーブイ(ムンク),287/SM-P,350000,2/16,,158000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6439633866372e6a70670031363000534f4c44204f555400660023666666666666.jpg,192000
286/SM-P,PROMO,コダック(ムンク),286/SM-P,500000,2/16,,178000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6561353866362e6a70670031363000534f4c44204f555400660023666666666666.jpg,322000
288/SM-P,PROMO,ピカチュウ(ムンク),288/SM-P,1000000,2/16,,878000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313231315f3664373231322e6a70670031363000534f4c44204f555400660023666666666666.jpg,122000
289/SM-P,PROMO,ミミッキュ(ムンク),289/SM-P,1200000,2/16,,848000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6438373262662e6a70670031363000534f4c44204f555400660023666666666666.jpg,352000
290/SM-P,PROMO,モクロー(ムンク),290/SM-P,160000,2/16,,64800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132355f3363656365392e6a70670031363000534f4c44204f555400660023666666666666.jpg,95200
297/SM-P,PROMO,イーブイ＆カビゴンGX,297/SM-P,50000,2/16,,35800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313230375f3830613963352e6a7067003136300000660023666666666666.jpg,14200
325/SM-P,PROMO,お茶会ごっこピカチュウ,325/SM-P,95000,2/16,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303331365f3964613431642e6a70670031363000534f4c44204f555400660023666666666666.jpg,42200
381/SM-P,PROMO,ピッピ,381/SM-P,66000,2/16,,62800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303733315f6566303034382e6a7067003136300000660023666666666666.jpg,3200
407/SM-P,PROMO,漫才ごっこピカチュウ,407/SM-P,72000,2/16,,44800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303932305f3364363538662e6a70670031363000534f4c44204f555400660023666666666666.jpg,27200
392/SM-P,PROMO,海で遊ぶピカチュウ,392/SM-P,40000,2/16,,32800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830335f6231333865392e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
